mechanism_name,strategy_name,first_strategy_name,second_strategy_name,domain_name,year,n_outcomes,opposition,time_limit,n_rounds,f0,f1,reserved0,reserved1,reserved,resrank0,resrank1,resrank,strategy_params,second_strategy_params,perm_indx,max_pareto_welfare,utility_ranges,rank_ranges,ordinal_opposition,time,run_time,failed,succeeded,noffers0,noffers1,noffers,nreceived0,nreceived1,nreceived,nseen,pareto_dist,nash_dist,kalai_dist,modified_kalai_dist,max_welfare,ordinal_pareto_dist,ordinal_nash_dist,ordinal_kalai_dist,ordinal_modified_kalai_dist,ordinal_max_welfare,pareto_optimality,nash_optimality,kalai_optimality,modified_kalai_optimality,max_welfare_optimality,ordinal_pareto_optimality,ordinal_nash_optimality,ordinal_kalai_optimality,ordinal_modified_kalai_optimality,ordinal_max_welfare_optimality,steps,full_time,agreement_utils,agreement_ranks,welfare,welfare_rank,agreement,run_id,failed_after_init,trial
AOt,AgentK-Yushu,AgentK,Yushu,ItexvsCypress,2010,180,0.39556846,180.0,,-1.0,-1.0,-0.035556324,-0.038648717,"(-0.035556325341615694, -0.03864871609160702)",-0.035556324,-0.038648717,"[-0.035556325341615694, -0.03864871609160702]",,,0,1.4486197,"[[0.0, 1.0], [0.0, 0.9999999999999999]]","[[0.005555555555555556, 1.0], [0.005555555555555556, 1.0]]",0.20964402,1787.2349,1787.0828,False,True,21,18,"[21, 18]",18,21,"[18, 21]",39,0.08370012,0.21322949,0.21322949,0.21322949,1.2632036,0.06285393,0.31155723,0.31155723,0.31155723,1.4166666,0.9408151,0.849224,0.849224,0.849224,0.872005,0.95530725,0.77846503,0.77846503,0.77846503,0.8279221,7570.0,178.74998,"(0.55994136036883, 0.7032622116854855)","(0.5111111111111111, 0.9055555555555556)",1.2632036,1.4166666,"('$3.98', '30 days', '30 days after delivery', '5% spoilage allowed')",100613102600381428,False,0
AOt,IAMhaggler-Nozomi,IAMhaggler,Nozomi,EnglandZimbabwe,2010,576,0.2681894,180.0,,-1.0,-1.0,-0.1221267,-0.10074251,"(-0.12212669484521901, -0.10074251354260369)",-0.1221267,-0.10074251,"[-0.12212669484521901, -0.10074251354260369]",,,0,1.6402689,"[[0.0, 1.0], [0.0, 1.0000000000000002]]","[[0.001736111111111111, 1.0], [0.001736111111111111, 1.0]]",0.09823996,1815.5043,1815.345,False,True,12,11,"[12, 11]",11,12,"[11, 12]",23,0.044200208,0.044200208,0.0724989,0.0724989,1.5797752,0.03515357,0.03515357,0.0741667,0.0741667,1.8177084,0.9687457,0.9687457,0.94873554,0.94873554,0.9631196,0.97509944,0.97509944,0.947465,0.947465,0.9739535,56133.0,181.73093,"(0.8421094428412594, 0.7376657254501596)","(0.9548611111111112, 0.8628472222222222)",1.5797752,1.8177084,"('$50 Billion', 'Reduction equal to fund size', 'No agreement', 'England will increase imports', 'Creation of committee to discuss creation of fund')",-34176171383865632,False,0
AOt,Yushu-Nozomi,Yushu,Nozomi,EnglandZimbabwe,2010,576,0.2681894,180.0,,-1.0,-1.0,-0.1221267,-0.10074251,"(-0.12212669484521901, -0.10074251354260369)",-0.1221267,-0.10074251,"[-0.12212669484521901, -0.10074251354260369]",,,0,1.6402689,"[[0.0, 1.0], [0.0, 1.0000000000000002]]","[[0.001736111111111111, 1.0], [0.001736111111111111, 1.0]]",0.09823996,1665.1394,1664.976,False,True,25,28,"[25, 28]",28,25,"[28, 25]",53,0.0,0.0,0.084472306,0.084472306,1.6402689,0.0,0.0,0.060265817,0.060265817,1.8663194,1.0,1.0,0.94026905,0.94026905,1.0,1.0,1.0,0.9573115,0.9573115,1.0,7538.0,166.55383,"(0.8802274744800717, 0.7600414743154431)","(0.9739583333333334, 0.8923611111111112)",1.6402689,1.8663194,"('$10 billion', 'Reduction equal to fund size', 'Zimbabwe will increase tariffs on imports', 'England will increase imports', 'Creation of committee to discuss creation of fund')",1921154471006452483,False,0
TAU0,AgentK-Nozomi,AgentK,Nozomi,ItexvsCypress,2010,180,0.39556846,,181,-1.0,-1.0,-0.035556324,-0.038648717,"(-0.035556325341615694, -0.03864871609160702)",-0.035556324,-0.038648717,"[-0.035556325341615694, -0.03864871609160702]",,,0,1.4486197,"[[0.0, 1.0], [0.0, 0.9999999999999999]]","[[0.005555555555555556, 1.0], [0.005555555555555556, 1.0]]",0.20964402,0.07900747,0.061251152,False,True,33,33,"[33, 33]",33,33,"[33, 33]",65,0.0,0.0,0.0,0.0,1.4486197,0.0,0.0,0.0,0.0,1.7111111,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,33.0,0.08114691,"(0.771555357672274, 0.6770643082030197)","(0.8222222222222222, 0.8888888888888888)",1.4486197,1.7111111,"('$3.47', '45 days', '30 days after delivery', '5% spoilage allowed')",-9038133580429278924,False,0
AOr,AgentK-Nozomi,AgentK,Nozomi,Travel,2010,188160,0.27286538,,188161,-1.0,-1.0,-0.11061716,-0.1086063,"(-0.11061716193909855, -0.10860630386153043)",-0.11061716,-0.1086063,"[-0.11061716193909855, -0.10860630386153043]",,,0,1.6223549,"[[0.0, 1.0], [0.0, 1.0]]","[[5.314625850340136e-06, 1.0], [1.0629251700680271e-05, 1.0]]",0.029469283,183.54456,183.52467,False,False,529,11,"[529, 11]",11,529,"[11, 529]",540,1.1337774,1.3003566,1.3003566,1.3003566,-0.21922347,1.0668017,1.3891155,1.3891155,1.3891155,0.0,0.19829834,0.08050903,0.08050903,0.08050903,0.0,0.24565129,0.017739192,0.017739192,0.017739192,0.0,22950.0,184.48059,"(-0.11061716193909855, -0.10860630386153043)","(0.0, 0.0)",-0.21922347,0.0,,-1768090525855452262,False,0
AOr,Yushu-Nozomi,Yushu,Nozomi,EnglandZimbabwe,2010,576,0.2681894,,577,-1.0,-1.0,-0.1221267,-0.10074251,"(-0.12212669484521901, -0.10074251354260369)",-0.1221267,-0.10074251,"[-0.12212669484521901, -0.10074251354260369]",,,0,1.6402689,"[[0.0, 1.0], [0.0, 1.0000000000000002]]","[[0.001736111111111111, 1.0], [0.001736111111111111, 1.0]]",0.09823996,4.8434205,4.8257856,False,True,36,11,"[36, 11]",11,36,"[11, 36]",47,0.0,0.08402001,0.000860304,0.000860304,1.6059331,0.0,0.060265817,0.0,0.0,1.8611112,1.0,0.9405889,0.9993917,0.9993917,0.9790669,1.0,0.9573115,1.0,1.0,0.9972093,478.0,4.8482695,"(0.8061829794061371, 0.7997501037848405)","(0.9288194444444444, 0.9322916666666666)",1.6059331,1.8611112,"('$50 Billion', 'Reduction equal to fund size', 'Zimbabwe will increase tariffs on imports', 'England will increase imports', 'Creation of committee to discuss creation of fund')",4181831245801968247,False,0
AOr,AgentK-Nozomi,AgentK,Nozomi,EnglandZimbabwe,2010,576,0.2681894,,577,-1.0,-1.0,-0.1221267,-0.10074251,"(-0.12212669484521901, -0.10074251354260369)",-0.1221267,-0.10074251,"[-0.12212669484521901, -0.10074251354260369]",,,0,1.6402689,"[[0.0, 1.0], [0.0, 1.0000000000000002]]","[[0.001736111111111111, 1.0], [0.001736111111111111, 1.0]]",0.09823996,4.4408145,4.4126554,False,True,38,10,"[38, 10]",10,38,"[10, 38]",48,0.0,0.16804002,0.08357412,0.08357412,1.5715972,0.0,0.13372564,0.07579472,0.07579472,1.8159722,1.0,0.8811778,0.94090414,0.94090414,0.9581339,1.0,0.90527725,0.94631183,0.94631183,0.97302324,466.0,4.4450955,"(0.7321384843322025, 0.8394587332542376)","(0.8576388888888888, 0.9583333333333334)",1.5715972,1.8159722,"('$100 Billion', 'Reduction equal to fund size', 'Zimbabwe will increase tariffs on imports', 'England will increase imports', 'Creation of committee to discuss creation of fund')",-3046391217575429557,False,0
AOr,AgentK,AgentK,AgentK,Travel,2010,188160,0.27286538,,188161,-1.0,-1.0,-0.11061716,-0.1086063,"(-0.11061716193909855, -0.10860630386153043)",-0.11061716,-0.1086063,"[-0.11061716193909855, -0.10860630386153043]",,,0,1.6223549,"[[0.0, 1.0], [0.0, 1.0]]","[[5.314625850340136e-06, 1.0], [1.0629251700680271e-05, 1.0]]",0.029469283,183.64075,183.62192,False,False,490,583,"[490, 583]",583,490,"[583, 490]",1073,1.1337774,1.3003566,1.3003566,1.3003566,-0.21922347,1.0668017,1.3891155,1.3891155,1.3891155,0.0,0.19829834,0.08050903,0.08050903,0.08050903,0.0,0.24565129,0.017739192,0.017739192,0.017739192,0.0,13124.0,184.65451,"(-0.11061716193909855, -0.10860630386153043)","(0.0, 0.0)",-0.21922347,0.0,,-4867127268528924777,False,0
AOt,AgentK-Yushu,AgentK,Yushu,Travel,2010,188160,0.27286538,180.0,,-1.0,-1.0,-0.11061716,-0.1086063,"(-0.11061716193909855, -0.10860630386153043)",-0.11061716,-0.1086063,"[-0.11061716193909855, -0.10860630386153043]",,,0,1.6223549,"[[0.0, 1.0], [0.0, 1.0]]","[[5.314625850340136e-06, 1.0], [1.0629251700680271e-05, 1.0]]",0.029469283,1639.2023,1639.0115,False,True,358,233,"[358, 233]",233,358,"[233, 358]",590,0.0,0.20367037,0.20367037,0.20367037,1.4583701,0.0,0.08587534,0.08587534,0.08587534,1.8933249,1.0,0.8559833,0.8559833,0.8559833,0.8989218,1.0,0.93927646,0.93927646,0.93927646,0.9638249,497.0,164.68494,"(0.6393142011067756, 0.8190559389249026)","(0.9082429846938775, 0.9850818452380953)",1.4583701,1.8933249,"('Hospitality', 'Nightlife and entertainment', 'International cuisine', 'Markets', 'Museum', 'Bike tours', 'Square')",-8053599926016273306,False,0
AOt,Yushu,Yushu,Yushu,Travel,2010,188160,0.27286538,180.0,,-1.0,-1.0,-0.11061716,-0.1086063,"(-0.11061716193909855, -0.10860630386153043)",-0.11061716,-0.1086063,"[-0.11061716193909855, -0.10860630386153043]",,,0,1.6223549,"[[0.0, 1.0], [0.0, 1.0]]","[[5.314625850340136e-06, 1.0], [1.0629251700680271e-05, 1.0]]",0.029469283,1792.6401,1792.4437,False,True,192,165,"[192, 165]",165,192,"[165, 192]",356,0.08973334,0.20570365,0.20570365,0.20570365,1.3689855,0.035694268,0.08728899,0.08728899,0.08728899,1.8579295,0.93654895,0.85454553,0.85454553,0.85454553,0.8438262,0.9747601,0.9382769,0.9382769,0.9382769,0.9458064,261.0,180.20502,"(0.6396622544070781, 0.7293232767596929)","(0.9085406037414966, 0.9493888180272109)",1.3689855,1.8579295,"('Hospitality', 'Nightclubs', 'Local cuisine', 'Markets', 'Cinema', 'Adventure', 'Square')",-3109820701651829859,False,0
